> python .\main_fed.py --dataset cifar --iid --poison True --src_cate airplane --trg_cate bird --advries 100 --model cnn --epochs 20
1 px by 1 patch
Round  19, Average loss 0.866
Backdoor Attack Success Rate: 99.4131455399061
Testing accuracy: 38.76
Removing trigger patch from datasets
9 px by 9 patch
Training and testing on poisoned dataset
Round   0, Average loss 2.298
Round   1, Average loss 2.279
Round   2, Average loss 2.119
Round   3, Average loss 1.972
Round   4, Average loss 1.890
Round   5, Average loss 1.785
Round   6, Average loss 1.724
Round   7, Average loss 1.654
Round   8, Average loss 1.565
Round   9, Average loss 1.498
Round  10, Average loss 1.410
Round  11, Average loss 1.334
Round  12, Average loss 1.239
Round  13, Average loss 1.162
Round  14, Average loss 1.091
Round  15, Average loss 1.047
Round  16, Average loss 0.951
Round  17, Average loss 0.871
Round  18, Average loss 0.850
Round  19, Average loss 0.825
Backdoor Attack Success Rate: 97.59450171821305
Testing accuracy: 39.08
Removing trigger patch from datasets
10 px by 10 patch
Training and testing on poisoned dataset
Round   0, Average loss 2.296
Round   1, Average loss 2.261
Round   2, Average loss 2.091
Round   3, Average loss 1.968
Round   4, Average loss 1.835
Round   5, Average loss 1.766
Round   6, Average loss 1.652
Round   7, Average loss 1.596
Round   8, Average loss 1.510
Round   9, Average loss 1.435
Round  10, Average loss 1.354
Round  11, Average loss 1.280
Round  12, Average loss 1.180
Round  13, Average loss 1.081
Round  14, Average loss 0.998
Round  15, Average loss 0.946
Round  16, Average loss 0.861
Round  17, Average loss 0.834
Round  18, Average loss 0.766
Round  19, Average loss 0.687
Backdoor Attack Success Rate: 99.68186638388123
Testing accuracy: 39.10
Removing trigger patch from datasets
